Stock Name,Ticker,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Year
Stellantis,STLA,"$54,655.07","$7,822.864","$23,176.37",-,"$12,572","$99,052.09","$40,788.64","$12,272.2","$55,867.24","$8,327.216","$119,711","$218,763.1","$80,025.27","$21,647.08","$17,719.42","$49,859.4","$129,884.6",$33.551,"$87,586.21",-,"$3,430.891","$88,878.48","$218,763.1",2023
Stellantis,STLA,"$53,476.52","$5,764.246","$18,290.5",-,"$9,633.064","$89,319.99","$38,145.59","$5,841.159","$53,463.88","$7,083.353","$106,814","$196,134","$70,406.82","$20,512.54","$18,181.97","$49,465.47","$119,872.3",$33.715,"$70,362.57",-,"$6,434.335","$76,261.67","$196,134",2022
Stellantis,STLA,"$60,967.51","$3,884.117","$13,441.2",-,"$10,051.62","$88,489.96","$41,985.85","$7,842.77","$55,080.41","$7,413.305","$114,726.4","$203,216.4","$76,732.32","$26,766.46","$18,384.19","$59,867.23","$136,599.5",$36.676,"$62,439.29",-,"$3,667.61","$66,616.81","$203,216.4",2021
Stellantis,STLA,"$28,211.38","$6,435.718","$9,245.776",-,"$1,495.271","$45,752.54","$31,506.92","$2,760.939","$29,213.18","$1,361.622","$68,169.04","$113,921.6","$44,591.96","$19,460.22","$8,707.753","$39,788.59","$84,380.58",$22.846,-,-,"$29,376.53","$29,541.02","$113,921.6",2020
Stellantis,STLA,"$17,566.08","$7,840","$10,888.64",-,"$2,408","$39,123.84","$32,040.96","$2,630.88","$29,908.48","$1,447.04","$70,685.44","$109,809.3","$48,556.48","$8,988","$8,797.601","$29,136.8","$77,693.28",$22.4,-,-,"$31,939.04","$32,116","$109,809.3",2019
Stellantis,STLA,"$15,429.77","$8,983.867","$12,629.61",-,"$2,509.625","$45,222.85","$31,068.57","$2,791.884","$30,374.14",$970.782,"$69,184.16","$114,407","$54,885.79","$10,235.73","$9,468.076","$30,110.78","$84,996.57",$22.439,-,-,"$29,150.62","$29,410.44","$114,407",2018
Stellantis,STLA,"$14,835.19","$9,157.69","$14,605.74",-,"$2,401.887","$41,000.5","$32,794.52","$2,814.447","$28,180.64",$944.931,"$67,846.26","$108,846.8","$53,428.15","$12,123.6","$9,432.354","$31,697","$85,125.16",$21.476,-,-,"$23,510.24","$23,721.61","$108,846.8",2017
Stellantis,STLA,"$20,007.33","$8,276.262","$13,413.1",-,"$2,126.885","$43,956.36","$33,674.95","$2,702.317","$29,484.25",$808.925,"$71,509.59","$115,466","$54,742.39","$17,828.43","$11,247.48","$39,307.54","$94,049.94",$21.025,-,-,"$21,190.29","$21,416.03","$115,466",2016
Stellantis,STLA,"$24,478.77","$5,639.722","$12,604.15",-,"$5,506.474","$52,287.63","$30,484.92","$2,489.517","$27,466.86",$195.43,"$64,348.79","$116,636.4","$41,070.36","$30,853.57","$15,314.64","$57,516.5","$98,586.87",$18.877,-,-,"$17,849.68","$18,049.55","$116,636.4",2015
Stellantis,STLA,"$31,372.8","$8,952.83","$16,572.38",-,"$3,670.19","$60,568.22","$35,104.15","$2,685.18","$30,370.51",$164.83,"$73,039.69","$133,607.9","$43,126.47","$44,829.31","$27,080.49","$72,219.52","$115,346",$22.59,-,-,"$18,239.32","$18,261.92","$133,607.9",2014
Target,TGT,"$3,805",-,"$11,886",-,"$1,807","$17,498","$33,096",-,-,"$1,400","$37,858","$55,356","$19,304","$14,922","$1,939","$22,620","$41,924",$38,"$7,093",$-460,-,"$13,432","$55,356",2023
Target,TGT,"$2,229",-,"$13,499",-,"$2,118","$17,846","$31,512",-,-,"$1,320","$35,489","$53,335","$19,500","$16,009","$1,760","$22,603","$42,103",$38,"$5,005",$-419,-,"$11,232","$53,335",2022
Target,TGT,"$5,911",-,"$13,902",-,"$1,760","$21,573","$28,181",-,-,"$1,501","$32,238","$53,811","$21,747","$13,549","$1,629","$19,237","$40,984",$39,"$6,920",$-553,-,"$12,827","$53,811",2021
