Stock Name,Ticker,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share,Year
Netflix,NFLX,1.1193,0.4072,0.7064,41.5378,20.6208,20.6208,63.779,18.4009,16.0364,0.692,-,-,-,26.2673,26.2673,11.0974,15.5708,47.5744,11.6933,11.8213,2023
Netflix,NFLX,1.1684,0.4086,0.6908,39.3707,17.8167,17.8167,63.2462,16.6498,14.208,0.6506,-,-,-,21.6193,21.6193,9.2436,12.7864,46.6544,3.6277,3.8762,2022
Netflix,NFLX,0.9506,0.4811,0.9712,41.6366,20.8584,20.8584,62.7429,19.6651,17.2276,0.6661,-,-,-,32.2806,32.2806,11.4753,16.7513,35.6995,-4.4813,-4.5371,2021
Netflix,NFLX,1.2506,0.5883,1.4739,38.8851,18.3441,18.3441,62.0414,12.7994,11.0473,0.6364,-,-,-,24.9556,24.9556,7.03,10.2752,24.9839,11.7347,11.1986,2020
Netflix,NFLX,0.9012,0.6606,1.9466,38.2818,12.9202,12.9202,59.1577,10.2311,9.2621,0.5933,-,-,-,24.6225,24.6225,5.4949,8.3563,17.279,-0.451,-0.6256,2019
Netflix,NFLX,1.4943,0.6642,1.9776,36.8917,10.1633,10.1633,58.3783,7.7652,7.6688,0.6081,-,-,-,23.1208,23.1208,4.6632,7.765,11.999,-1.9431,-1.9408,2018
Netflix,NFLX,1.4031,0.6447,1.8145,31.2991,7.1727,7.1727,60.7935,4.1506,4.7801,0.615,-,-,-,15.604,15.604,2.9398,5.5442,8.2649,-0.6368,-0.7792,2017
Netflix,NFLX,1.2472,0.5566,1.2554,29.1394,4.3008,4.3008,60.0721,2.95,2.114,0.65,-,-,-,6.9661,6.9661,1.374,3.0886,6.2313,-1.6432,-1.6795,2016
Netflix,NFLX,1.5389,0.5161,1.0665,32.2742,4.511,4.511,56.8311,2.0929,1.809,0.6645,-,-,-,5.5159,5.5159,1.202,2.6691,5.1956,-1.7553,-1.8029,2015
Netflix,NFLX,1.4746,0.3229,0.4769,31.8257,7.3147,7.3147,57.8501,6.3468,4.8468,0.7816,-,-,-,14.3617,14.3617,3.7884,9.7246,4.3927,-0.1918,-0.226,2014
Toyota,TM,1.1897,0.3751,1.0375,20.7745,11.8703,11.8703,16.4984,15.4453,10.9655,0.5004,7.7577,3.0137,121.1147,14.3914,14.967,5.6278,8.9927,180.4575,5.4684,1.341,2023
Toyota,TM,1.1043,0.3685,1.004,16.9914,7.3344,7.3344,12.8247,9.8743,6.5977,0.5,7.2472,3.0745,118.7183,8.5188,8.8987,3.3551,5.3799,159.6405,-7.8462,-4.5385,2022
Toyota,TM,1.0861,0.3605,0.9758,19.0305,9.5467,9.5467,15.3526,12.717,9.0827,0.4636,6.6489,2.9919,121.9952,10.586,11.072,4.2468,6.7696,175.4047,5.8113,7.3526,2021
Toyota,TM,1.0613,0.3564,1.0565,17.7566,8.0756,8.0756,14.1176,10.7749,8.2502,0.4371,7.75,2.7693,131.8042,9.397,9.8465,3.6655,6.0483,163.3151,-5.1688,-4.9803,2020
Toyota,TM,1.0413,0.3402,0.9911,18.0676,8.1619,8.1619,13.5257,8.5353,6.9368,0.5681,10.0711,3.2273,113.0966,10.3306,10.3306,4.0667,6.8161,137.9437,-0.0152,0.1641,2019
Toyota,TM,1.0358,0.3446,1.0041,18.0108,8.1637,8.1637,14.0937,7.5613,6.2294,0.582,9.3291,3.1522,115.791,9.8947,9.8947,3.8231,6.485,127.5256,-2.0749,-2.2697,2018
Toyota,TM,1.02,0.3399,0.9958,18.6877,8.1685,8.1685,14.0707,8.9192,8.4889,0.584,9.406,3.2438,112.5233,13.3098,13.3098,5.1405,8.7854,120.1893,4.5226,4.3724,2017
Toyota,TM,1.0297,0.3468,1.0261,17.6208,7.2267,7.2267,13.0641,7.9495,6.6351,0.5661,9.5178,3.1542,115.7201,10.5977,10.3219,3.9528,6.7423,116.7311,-2.9561,-1.2636,2016
Toyota,TM,1.1293,0.3508,1.0113,20.412,10.0481,10.0481,15.7722,10.5037,8.1424,0.5989,10.9655,3.3958,107.4863,13.8241,13.4575,5.1325,8.7372,98.8468,2.5125,1.5215,2015
Toyota,TM,1.0916,0.362,1.0754,19.8015,10.0996,10.0996,15.2734,10.6219,7.9801,0.5706,10.2178,3.0951,117.9282,13.0779,13.0779,4.8353,8.3433,102.0656,-1.7726,-4.288,2014
CocaCola,KO,1.1341,0.564,1.5307,59.5227,24.7213,24.7213,27.1867,28.3079,23.4165,0.4683,4.1863,13.4176,27.2031,38.9483,-186.366,10.9546,16.9816,6.3788,0.1403,0.0544,2023
CocaCola,KO,1.1454,0.5848,1.5159,58.1434,25.3674,25.3674,28.2974,27.1742,22.1886,0.4636,4.2523,12.3327,29.5962,37.0596,-122.6265,10.3177,15.3867,5.9672,-0.3761,-0.4099,2022
CocaCola,KO,1.1301,0.6052,1.7201,60.2716,26.6667,26.6667,30.423,32.1433,25.2775,0.4097,4.4982,11.0066,33.1621,39.4369,-100.5229,10.3907,15.5678,5.748,0.6319,0.5703,2021
