Stock Name,Ticker,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Year
Mondelez,MDLZ,"$36,016","$22,252","$13,764",-,"$8,002",$-217,"$8,262","$5,502",$378,"$5,880","$1,537","$4,343",-,"$4,968",-,"$4,959","$6,717","$5,502","1,363","1,370",$3.64,$3.62,2023
Mondelez,MDLZ,"$31,496","$20,184","$11,312",-,"$7,384",$-262,"$7,778","$3,534",$-306,"$3,228",$865,"$2,363",-,"$2,726",-,"$2,717","$4,641","$3,534","1,378","1,385",$1.97,$1.96,2022
Mondelez,MDLZ,"$28,720","$17,466","$11,254",-,"$6,263",$-212,"$6,601","$4,653",$-284,"$4,369","$1,190","$3,179",-,"$4,314",-,"$4,300","$5,766","$4,653","1,403","1,413",$3.06,$3.04,2021
Mondelez,MDLZ,"$26,581","$16,135","$10,446",-,"$6,098",$-301,"$6,593","$3,853",$-470,"$3,383","$1,224","$2,159",-,"$3,569",-,"$3,555","$4,969","$3,853","1,431","1,441",$2.48,$2.47,2020
Mondelez,MDLZ,"$25,868","$15,531","$10,337",-,"$6,136",$-228,"$6,494","$3,843",$-396,"$3,447",$2,"$3,445",-,"$3,944",-,"$3,929","$4,890","$3,843","1,445","1,458",$2.72,$2.69,2019
Mondelez,MDLZ,"$25,938","$15,586","$10,352",-,"$6,475",$-389,"$7,040","$3,312",$-470,"$2,842",$773,"$2,069",-,"$3,331",-,"$3,317","$4,123","$3,312","1,472","1,486",$2.25,$2.23,2018
Mondelez,MDLZ,"$25,896","$15,862","$10,034",-,"$5,938",$-642,"$6,572","$3,462",$-338,"$3,124",$666,"$2,458",-,"$2,842",-,"$2,828","$4,464","$3,648","1,513","1,531",$1.87,$1.85,2017
Mondelez,MDLZ,"$25,923","$15,819","$10,104",-,"$6,546",$-837,"$7,550","$2,554","$-1,100","$1,454",$114,"$1,340",-,"$1,645",-,"$1,635","$3,386","$2,563","1,556","1,573",$1.05,$1.04,2016
Mondelez,MDLZ,"$29,636","$18,124","$11,512",-,"$7,577",$-901,"$2,615","$8,897","$-1,013","$7,884",$593,"$7,291",-,"$7,291",-,"$7,267","$16,613","$15,719","1,618","1,637",$4.49,$4.44,2015
Mondelez,MDLZ,"$34,244","$21,647","$12,597",-,"$8,457",$-692,"$9,355","$3,242",$-688,"$2,554",$353,"$2,201",-,"$2,201",-,"$2,184","$4,301","$3,242","1,691","1,709",$1.29,$1.28,2014
Blackstone,BX,"$8,022.841",-,"$8,022.841",-,"$4,549.262",-,-,"$3,041.711",$-83.997,"$2,957.714",$513.461,"$2,444.253",-,"$2,444.253",-,"$1,390.88","$3,513.654","$3,473.579",755,755,$1.84,$1.84,2023
Blackstone,BX,"$8,517.673",-,"$8,517.673",-,"$4,655.8",-,-,"$3,544.648",$-82.859,"$3,461.789",$472.88,"$2,988.909",-,"$2,988.909",-,"$1,747.631","$3,928.97","$3,861.873",741,741,$2.36,$2.36,2022
Blackstone,BX,"$22,577.15",-,"$22,577.15",-,"$9,278.349",-,-,"$13,100.53",$458.865,"$13,559.4","$1,184.401","$12,375",-,"$12,375",-,"$5,857.397","$13,373.67","$13,298.8",720,720,$8.14,$8.13,2021
Blackstone,BX,"$6,101.927",-,"$6,101.927",-,"$3,313.404",-,-,"$2,622.361",$-4.841,"$2,617.52",$356.014,"$2,261.506",-,"$2,261.506",-,"$1,045.363","$2,859.576","$2,788.523",697,697,$1.50,$1.50,2020
Blackstone,BX,"$7,338.27",-,"$7,338.27",-,"$3,765.003",-,-,"$3,373.619",$444.396,"$3,818.015",$-47.952,"$3,865.967",-,"$3,865.967",-,"$2,049.682","$3,644.266","$3,573.267",676,676,$3.03,$3.03,2019
Blackstone,BX,"$6,833.259",-,"$6,833.259",-,"$3,348.05",-,-,"$3,321.219",$191.722,"$3,512.941",$249.39,"$3,263.551",-,"$3,263.551",-,"$1,541.788","$3,544.23","$3,485.209",679,"1,207",$2.27,$2.26,2018
Blackstone,BX,"$7,145.015",-,"$7,145.015",-,"$3,554.892",-,-,"$3,392.637",$725.452,"$4,118.089",$743.147,"$3,374.942",-,"$3,374.942",-,"$1,471.374","$3,636.899","$3,590.123",665,666,$2.21,$2.21,2017
Blackstone,BX,"$5,146.299",-,"$5,146.299",-,"$2,796.791",-,-,"$2,196.854",$184.75,"$2,381.604",$132.362,"$2,249.242",-,"$2,249.242",-,"$1,039.014","$2,432.451","$2,349.508",649,"1,195",$1.60,$1.56,2016
Blackstone,BX,"$4,646.552",-,"$4,646.552",-,"$2,946.353",-,-,"$1,555.677",$259.071,"$1,814.748",$190.398,"$1,624.35",-,"$1,624.35",-,$709.789,"$1,801.636","$1,700.199",634,"1,188",$1.12,$1.04,2015
Blackstone,BX,"$7,484.728",-,"$7,484.728",-,"$3,734.332",-,-,"$3,628.872",$357.854,"$3,986.726",$291.173,"$3,695.553",-,"$3,695.553",-,"$1,584.589","$3,852.311","$3,750.396",609,613,$2.60,$2.58,2014
Equinor,EQNR,"$107,174","$48,175","$58,999",$795,"$1,218","$-10,582","$23,229","$35,770","$2,114","$37,884","$25,980","$11,904",-,"$11,904",-,"$11,885","$46,404","$35,770","3,021","3,027",$3.93,$3.93,2023
Equinor,EQNR,"$150,806","$53,806","$97,000","$1,205",$986,"$-9,608","$18,190","$78,810",$-207,"$78,604","$49,861","$28,743",-,"$28,743",-,"$28,746","$85,201","$78,810","3,174","3,183",$9.06,$9.03,2022
Equinor,EQNR,"$90,924","$35,160","$55,764","$1,004",$780,"$-8,598","$22,101","$33,663","$-2,080","$31,583","$23,007","$8,576",-,"$8,576",-,"$8,563","$45,382","$33,663","3,245","3,254",$2.64,$2.63,2021
Equinor,EQNR,"$45,818","$20,986","$24,832","$3,483",$706,"$-8,831","$28,255","$-3,423",$-836,"$-4,259","$1,237","$-5,496",-,"$-5,496",-,"$-5,510","$11,812","$-3,423","3,269","3,277",$-1.69,$-1.69,2020
Equinor,EQNR,"$64,357","$29,532","$34,825","$1,854",$809,"$-9,660","$25,527","$9,298",$-7,"$9,292","$7,441","$1,851",-,"$1,851",-,"$1,843","$22,502","$9,298","3,326","3,334",$0.55,$0.55,2019
Equinor,EQNR,"$79,593","$38,516","$41,077","$1,405",$758,"$-9,528","$20,940","$20,137","$-1,263","$18,874","$11,335","$7,539",-,"$7,539",-,"$7,535","$29,386","$20,137","3,326","3,335",$2.27,$2.27,2018
Equinor,EQNR,"$61,187","$28,212","$32,975","$1,059",$738,"$-8,763","$19,204","$13,771",$-351,"$13,420","$8,822","$4,598",-,"$4,598",-,"$4,590","$22,415","$13,771","3,268","3,288",$1.40,$1.40,2017
Equinor,EQNR,"$45,873","$21,505","$24,368","$2,952",$762,"$-9,025","$24,289",$79,$-258,$-178,"$2,724","$-2,902",-,"$-2,902",-,"$-2,922","$11,629",$79,"3,195","3,207",$-0.91,$-0.91,2016
Equinor,EQNR,"$59,642","$26,254","$33,388","$3,872",$921,"$-10,512","$32,020","$1,368","$-1,311",$55,"$5,225","$-5,170",-,"$-5,170",-,"$-5,192","$18,083","$1,368","3,179","3,189",$-1.63,$-1.63,2015
Equinor,EQNR,"$99,264","$47,980","$51,284","$4,666","$1,159","$-11,657","$33,407","$17,877",$20,"$17,898","$14,011","$3,887",-,"$3,887",-,"$3,871","$33,802","$17,877","3,180","3,189",$1.22,$1.21,2014
Chipotle Mexican Grill,CMG,"$9,871.649","$7,285.557","$2,586.092",-,$633.584,$-75.301,"$1,028.279","$1,557.813",$62.693,"$1,620.506",$391.769,"$1,228.737",-,"$1,228.737",-,"$1,228.737","$1,877.208","$1,557.813",28,28,$44.59,$44.34,2023
