Stock Name,Ticker,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Year
Microsoft,MSFT,"$211,915","$65,863","$146,052","$27,195","$30,334",-,"$57,529","$88,523",$788,"$89,311","$16,950","$72,361",-,"$72,361",-,"$72,361","$102,384","$88,523","7,446","7,472",$9.72,$9.68,2023
Microsoft,MSFT,"$198,270","$62,650","$135,620","$24,512","$27,725",-,"$52,237","$83,383",$333,"$83,716","$10,978","$72,738",-,"$72,738",-,"$72,738","$97,843","$83,383","7,496","7,540",$9.70,$9.65,2022
Microsoft,MSFT,"$168,088","$52,232","$115,856","$20,716","$25,224",-,"$45,940","$69,916","$1,186","$71,102","$9,831","$61,271",-,"$61,271",-,"$61,271","$81,602","$69,916","7,547","7,608",$8.12,$8.05,2021
Microsoft,MSFT,"$143,015","$46,078","$96,937","$19,269","$24,709",-,"$43,978","$52,959",$77,"$53,036","$8,755","$44,281",-,"$44,281",-,"$44,281","$65,755","$52,959","7,610","7,683",$5.82,$5.76,2020
Microsoft,MSFT,"$125,843","$42,910","$82,933","$16,876","$23,098",-,"$39,974","$42,959",$729,"$43,688","$4,448","$39,240",-,"$39,240",-,"$39,240","$54,641","$42,959","7,673","7,753",$5.11,$5.06,2019
Microsoft,MSFT,"$110,360","$38,353","$72,007","$14,726","$22,223",-,"$36,949","$35,058","$1,416","$36,474","$19,903","$16,571",-,"$16,571",-,"$16,571","$45,319","$35,058","7,700","7,794",$2.15,$2.13,2018
Microsoft,MSFT,"$96,571","$34,261","$62,310","$13,037","$19,942",-,"$33,285","$29,025",$876,"$29,901","$4,412","$25,489",-,"$25,489",-,"$25,489","$37,803","$29,025","7,746","7,832",$3.29,$3.25,2017
Microsoft,MSFT,"$91,154","$32,780","$58,374","$11,988","$19,198",-,"$32,296","$26,078",$-439,"$25,639","$5,100","$20,539",-,"$20,539",-,"$20,539","$33,330","$26,078","7,925","8,013",$2.59,$2.56,2016
Microsoft,MSFT,"$93,580","$33,038","$60,542","$12,046","$20,324",-,"$42,381","$18,161",$346,"$18,507","$6,314","$12,193",-,"$12,193",-,"$12,193","$31,616","$18,161","8,177","8,254",$1.49,$1.48,2015
Microsoft,MSFT,"$86,833","$27,078","$59,755","$11,381","$20,488",-,"$31,996","$27,759",$61,"$27,820","$5,746","$22,074",-,"$22,074",-,"$22,074","$32,971","$27,759","8,299","8,399",$2.66,$2.63,2014
Apple,AAPL,"$383,285","$214,137","$169,148","$29,915","$24,932",-,"$54,847","$114,301",$-565,"$113,736","$16,741","$96,995",-,"$96,995",-,"$96,995","$125,820","$114,301","15,744","15,813",$6.16,$6.13,2023
Apple,AAPL,"$394,328","$223,546","$170,782","$26,251","$25,094",-,"$51,345","$119,437",$-334,"$119,103","$19,300","$99,803",-,"$99,803",-,"$99,803","$130,541","$119,437","16,216","16,326",$6.15,$6.11,2022
Apple,AAPL,"$365,817","$212,981","$152,836","$21,914","$21,973",-,"$43,887","$108,949",$258,"$109,207","$14,527","$94,680",-,"$94,680",-,"$94,680","$120,233","$108,949","16,701","16,865",$5.67,$5.61,2021
