Stock Name,Ticker,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Year
Union Pacific,UNP,"$24,119","$10,325","$13,794",-,-,"$-1,447","$4,712","$9,082",$-849,"$8,233","$1,854","$6,379",-,"$6,379",-,"$6,379","$11,400","$9,082",609,610,$10.47,$10.45,2023
Union Pacific,UNP,"$24,875","$10,526","$14,349",-,-,"$-1,288","$4,432","$9,917",$-845,"$9,072","$2,074","$6,998",-,"$6,998",-,"$6,998","$12,163","$9,917",623,624,$11.24,$11.21,2022
Union Pacific,UNP,"$21,804","$8,223","$13,581",-,-,"$-1,176","$4,243","$9,338",$-860,"$8,478","$1,955","$6,523",-,"$6,523",-,"$6,523","$11,546","$9,338",654,655,$9.98,$9.95,2021
Union Pacific,UNP,"$19,533","$7,269","$12,264",-,-,"$-1,345","$4,430","$7,834",$-854,"$6,980","$1,631","$5,349",-,"$5,349",-,"$5,349","$10,044","$7,834",677,679,$7.90,$7.88,2020
Union Pacific,UNP,"$21,708","$8,894","$12,814",-,-,"$-1,060","$4,260","$8,554",$-807,"$7,747","$1,828","$5,919",-,"$5,919",-,"$5,919","$10,770","$8,554",704,706,$8.41,$8.38,2019
Union Pacific,UNP,"$22,832","$10,030","$12,802",-,-,"$-1,022","$4,285","$8,517",$-776,"$7,741","$1,775","$5,966",-,"$5,966",-,"$5,966","$10,708","$8,517",751,754,$7.95,$7.91,2018
Union Pacific,UNP,"$21,240","$9,193","$12,047",-,-,$-948,"$3,941","$8,106",$-474,"$7,632","$-3,080","$10,712",-,"$10,712",-,"$10,712","$10,211","$8,106",798,802,$13.42,$13.36,2017
Union Pacific,UNP,"$19,941","$8,526","$11,415",-,-,$-997,"$4,172","$7,243",$-477,"$6,766","$2,533","$4,233",-,"$4,233",-,"$4,233","$9,281","$7,243",832,835,$5.09,$5.07,2016
Union Pacific,UNP,"$21,813","$9,595","$12,218",-,-,$-924,"$4,166","$8,052",$-396,"$7,656","$2,884","$4,772",-,"$4,772",-,"$4,772","$10,064","$8,052",866,869,$5.51,$5.49,2015
Union Pacific,UNP,"$23,988","$11,173","$12,815",-,-,$-924,"$4,062","$8,753",$-410,"$8,343","$3,163","$5,180",-,"$5,180",-,"$5,180","$10,657","$8,753",897,901,$5.77,$5.75,2014
S&P Global,SPGI,"$12,497","$4,141","$8,356",-,"$3,159",$-34,"$4,336","$4,020",$-349,"$3,671",$778,"$2,893",-,"$2,893",-,"$2,626","$5,163","$4,020",318,319,$8.25,$8.23,2023
S&P Global,SPGI,"$11,181","$3,753","$7,428",-,"$3,396","$1,925","$2,484","$4,944",$-242,"$4,702","$1,180","$3,522",-,"$3,522",-,"$3,248","$5,957","$4,944",317,319,$10.25,$10.20,2022
S&P Global,SPGI,"$8,297","$2,180","$6,117",-,"$1,729",$11,"$1,896","$4,221",$-57,"$4,164",$901,"$3,263",-,"$3,263",-,"$3,024","$4,399","$4,221",241,242,$12.56,$12.51,2021
S&P Global,SPGI,"$7,442","$2,094","$5,348",-,"$1,541",$16,"$1,731","$3,617",$-389,"$3,228",$694,"$2,534",-,"$2,534",-,"$2,339","$3,823","$3,617",241,242,$9.71,$9.66,2020
S&P Global,SPGI,"$6,699","$1,976","$4,723",-,"$1,342",$49,"$1,497","$3,226",$-296,"$2,930",$627,"$2,303",-,"$2,303",-,"$2,123","$3,430","$3,226",245,247,$8.65,$8.60,2019
S&P Global,SPGI,"$6,258","$1,838","$4,420",-,"$1,424",-,"$1,630","$2,790",$-109,"$2,681",$560,"$2,121",-,"$2,121",-,"$1,958","$2,996","$2,790",251,253,$7.80,$7.73,2018
S&P Global,SPGI,"$6,063","$1,694","$4,369",-,"$1,606",-,"$1,786","$2,583",$-122,"$2,461",$823,"$1,638",-,"$1,638",-,"$1,496","$2,763","$2,583",256,259,$5.84,$5.78,2017
S&P Global,SPGI,"$5,661","$1,773","$3,888",-,"$1,467","$1,101",$547,"$3,341",$-153,"$3,188",$960,"$2,228",-,"$2,228",-,"$2,106","$3,522","$3,341",263,265,$8.02,$7.94,2016
S&P Global,SPGI,"$5,313","$1,718","$3,595",-,"$1,532",$11,"$1,678","$1,917",$-102,"$1,815",$547,"$1,268",-,"$1,268",-,"$1,156","$2,074","$1,917",272,275,$4.26,$4.21,2015
S&P Global,SPGI,"$5,051","$1,651","$3,400",-,"$3,144",$-9,"$3,287",$113,$-59,$54,$245,$-191,-,$-191,$178,$-115,$247,$113,272,272,$-0.42,$-0.42,2014
Honeywell,HON,"$36,662","$22,995","$13,667","$1,456","$5,127",-,"$6,583","$7,084",$75,"$7,159","$1,487","$5,672",-,"$5,672",-,"$5,658","$8,260","$7,084",663,668,$8.53,$8.47,2023
Honeywell,HON,"$35,466","$22,347","$13,119","$1,478","$5,214",-,"$6,692","$6,427",$-48,"$6,379","$1,412","$4,967",-,"$4,967",-,"$4,966","$7,631","$6,427",677,683,$7.33,$7.27,2022
Honeywell,HON,"$34,392","$22,061","$12,331","$1,333","$4,798",-,"$6,131","$6,200","$1,035","$7,235","$1,625","$5,610",-,"$5,610",-,"$5,542","$7,423","$6,200",692,700,$8.01,$7.91,2021
Honeywell,HON,"$32,637","$22,169","$10,468",-,"$4,772",-,"$4,772","$5,696",$316,"$6,012","$1,147","$4,865",-,"$4,865",-,"$4,779","$6,698","$5,696",704,711,$6.79,$6.72,2020
Honeywell,HON,"$36,709","$24,339","$12,370",-,"$5,519",-,"$5,519","$6,851",$708,"$7,559","$1,329","$6,230",-,"$6,230",-,"$6,143","$7,939","$6,851",721,730,$8.52,$8.41,2019
Honeywell,HON,"$41,802","$29,046","$12,756",-,"$6,051",-,"$6,051","$6,705",$782,"$7,487",$659,"$6,828",-,"$6,828",-,"$6,765","$7,821","$6,705",743,753,$9.10,$8.98,2018
Honeywell,HON,"$40,534","$28,144","$12,390",-,"$6,087",-,"$6,087","$6,303",$647,"$6,950","$5,362","$1,588",-,"$1,588",-,"$1,545","$7,418","$6,303",762,772,$2.03,$2.00,2017
Honeywell,HON,"$39,302","$27,677","$11,625",-,"$5,574",-,"$5,574","$6,051",$401,"$6,452","$1,603","$4,849",-,"$4,849",-,"$4,812","$7,081","$6,051",764,775,$6.30,$6.21,2016
Honeywell,HON,"$38,581","$26,747","$11,834",-,"$5,006",-,"$5,006","$6,828",$-242,"$6,586","$1,739","$4,847",-,"$4,847",-,"$4,768","$7,711","$6,828",780,789,$6.11,$6.04,2015
Honeywell,HON,"$40,306","$28,957","$11,349",-,"$5,518",-,"$5,518","$5,831",$-13,"$5,818","$1,489","$4,329",-,"$4,329",-,"$4,239","$6,755","$5,831",784,795,$5.40,$5.33,2014
Lam Research,LRCX,"$17,428.52","$9,651.591","$7,776.925","$1,727.162",$832.753,-,"$2,602.069","$5,174.859",$-65.65,"$5,109.21",$598.279,"$4,510.931",-,"$4,510.931",-,"$4,510.931","$5,517.292","$5,174.859",135,136,$33.30,$33.21,2023
Lam Research,LRCX,"$17,227.04","$9,355.232","$7,871.807","$1,604.248",$885.737,-,"$2,489.988","$5,381.821",$-188.708,"$5,193.114",$587.828,"$4,605.286",-,"$4,605.286",-,"$4,605.286","$5,715.561","$5,381.821",140,141,$32.92,$32.75,2022
Lam Research,LRCX,"$14,626.15","$7,820.844","$6,805.306","$1,493.408",$829.875,-,"$2,323.286","$4,482.023",$-111.219,"$4,370.804",$462.346,"$3,908.458",-,"$3,908.458",-,"$3,908.458","$4,789.174","$4,482.023",144,145,$27.22,$26.90,2021
Lam Research,LRCX,"$10,044.74","$5,436.043","$4,608.693","$1,252.412",$682.479,-,"$1,934.891","$2,673.802",$-98.824,"$2,574.978",$323.225,"$2,251.753",-,"$2,251.753",-,"$2,251.753","$2,942.327","$2,673.802",145,149,$15.55,$15.10,2020
